"Enable stock indicator on product view<br/><br/><strong>Quantities:</strong>","Aktiviere 'Ampel' auf Produkseiten<br/><br/><strong>Mengen:</strong>"
"Indicator will be displayed on a product detail pages.","'Ampel' wird auf den Produktdetail-Seiten angezeigt."
"Green ≥","Grün ≥"
"Red ≥","Rot ≥"
"Yellow ≥","Gelb ≥"
"Stock Indicator","Lagerbestands Anzeige - 'Ampel'"
"Currently out of stock!","Derzeit nicht vorrätig!"
"Only a few available!","Nur noch gering verfügbar!"
"In stock","Verfügbar"
